,links,movie,cert,rateoc,rateou
108,crouching-tiger-hidden-dragon,"Crouching Tiger, Hidden Dragon",PG-13,94,8.1
109,nomadland,Nomadland,R,93,7.2
110,call-me-by-your-name,Call Me by Your Name,R,93,8.0
111,the-magnificent-ambersons,The Magnificent Ambersons,TV-PG,93,8.6
112,reversal-of-fortune,Reversal of Fortune,R,93,8.1
113,american-utopia,David Byrne’s American Utopia,Not Rated,93,7.4
114,lady-bird,Lady Bird,R,93,7.6
115,shoplifters,Shoplifters,Not Rated,93,8.3
116,shoah-four-sisters,Shoah: Four Sisters,Not Rated,93,tbd
117,the-39-steps,The 39 Steps,TV-G,93,7.9
118,duck-soup,Duck Soup,Passed,93,7.7
119,days-of-heaven,Days of Heaven,PG,93,8.4
120,toni-erdmann,Toni Erdmann,R,93,7.0
121,yi-yi,Yi Yi,Not Rated,93,8.5
122,mccabe-mrs-miller,McCabe & Mrs. Miller,R,93,7.6
123,the-best-years-of-our-lives,The Best Years of Our Lives,Passed,93,8.5
124,stagecoach,Stagecoach,TV-G,93,7.9
125,inside-llewyn-davis,Inside Llewyn Davis,R,93,7.8
126,sherpa,Sherpa,Not Rated,93,7.6
127,there-will-be-blood,There Will Be Blood,R,93,8.1
128,badlands,Badlands,PG,93,8.4
129,the-last-picture-show,The Last Picture Show,R,93,8.4
130,do-the-right-thing,Do the Right Thing,R,93,8.2
131,sita-sings-the-blues,Sita Sings the Blues,Not Rated,93,7.2
132,the-decline-of-western-civilization,The Decline of Western Civilization,Not Rated,93,7.0
133,yojimbo,Yojimbo,TV-MA,93,7.6
134,rio-bravo,Rio Bravo,Passed,93,7.9
135,brothers-keeper,Brother's Keeper,Not Rated,93,7.5
136,sankofa,Sankofa,Not Rated,93,tbd
137,crumb,Crumb,R,93,8.4
138,spotlight,Spotlight,R,93,8.2
139,the-band-wagon,The Band Wagon,Passed,93,tbd
140,one-more-time-with-feeling,One More Time with Feeling,Not Rated,92,8.7
141,the-diving-bell-and-the-butterfly,The Diving Bell and the Butterfly,PG-13,92,8.3
142,invasion-of-the-body-snatchers-1956,Invasion of the Body Snatchers,Approved,92,8.2
143,mr-bachmann-and-his-class,Mr. Bachmann and His Class,Not Rated,92,tbd
144,the-class,The Class,PG-13,92,7.4
145,platoon,Platoon,R,92,8.0
146,35-shots-of-rum,35 Shots of Rum,Not Rated,92,6.4
147,apocalypse-now-final-cut,Apocalypse Now: Final Cut,Not Rated,92,8.5
148,chinatown,Chinatown,R,92,8.9
149,the-florida-project,The Florida Project,Not Rated,92,7.4
150,timbuktu,Timbuktu,Not Rated,92,7.3
151,frenzy,Frenzy,TV-14,92,7.2
152,brief-encounter,Brief Encounter,Approved,92,7.6
153,cool-hand-luke,Cool Hand Luke,PG,92,8.6
154,little-women-1933,Little Women,Approved,92,5.3
155,maborosi,Maborosi,Not Rated,92,7.6
156,top-hat,Top Hat,TV-G,92,tbd
157,apocalypse-now-redux,Apocalypse Now Redux,R,92,8.7
158,never-rarely-sometimes-always,Never Rarely Sometimes Always,Not Rated,92,0.8
159,annie-hall,Annie Hall,PG,92,6.6
160,the-lord-of-the-rings-the-fellowship-of-the-ring,The Lord of the Rings: The Fellowship of the Ring,PG-13,92,9.1
161,quiz-show,Quiz Show,PG-13,92,8.5
162,leviathan-2014,Leviathan,Not Rated,92,7.3
163,werckmeister-harmonies,Werckmeister Harmonies,Not Rated,92,7.9
164,toy-story-3,Toy Story 3,G,92,8.9
165,this-is-spinal-tap,This Is Spinal Tap,R,92,8.1
166,the-look-of-silence,The Look of Silence,PG-13,92,8.3
167,tower,Tower,Not Rated,92,8.0
168,the-rider,The Rider,R,92,7.5
169,moolaade,Moolaadé,Unrated,91,8.0
170,atanarjuat-the-fast-runner,Atanarjuat: The Fast Runner,R,91,8.1
171,ikiru,Ikiru,Not Rated,91,tbd
172,time-2020,Time,PG-13,91,5.4
173,gavagai,Gavagai,Not Rated,91,6.0
174,the-man-who-would-be-king,The Man Who Would Be King,PG,91,6.9
175,the-killing,The Killing,TV-PG,91,7.4
176,swing-time,Swing Time,TV-G,91,tbd
177,breaking-away,Breaking Away,PG,91,8.4
178,drive-my-car,Drive My Car,Not Rated,91,7.4
179,the-souvenir,The Souvenir,Not Rated,91,6.3
180,after-life,After Life,Not Rated,91,6.4
181,son-of-saul,Son of Saul,R,91,7.3
182,love-affair-1939,Love Affair,TV-G,91,tbd
183,frankenstein,Frankenstein,Passed,91,8.1
184,-1963,8½,Not Rated,91,7.7
185,little-women-2019,Little Women,PG,91,7.5
186,et-the-extra-terrestrial,E.T. The Extra-Terrestrial,PG,91,8.2
187,the-african-queen,The African Queen,Passed,91,7.6
188,the-triplets-of-belleville,The Triplets of Belleville,PG-13,91,7.8
189,the-queen,The Queen,PG-13,91,6.7
190,flee,Flee,PG-13,91,7.4
191,all-quiet-on-the-western-front,All Quiet on the Western Front,TV-PG,91,8.6
192,ex-libris-new-york-public-library,EX LIBRIS: The New York Public Library,Not Rated,91,7.7
193,a-bread-factory-part-two,A Bread Factory Part Two: Walk With Me a While,Not Rated,91,tbd
194,the-ladykillers-1955,The Ladykillers,Not Rated,91,7.8
195,young-mr-lincoln,Young Mr. Lincoln,Approved,91,8.0
196,stories-we-tell,Stories We Tell,PG-13,91,8.3
197,a-bread-factory-part-one,A Bread Factory Part One: For the Sake of Gold,Not Rated,91,tbd
198,the-act-of-killing,The Act of Killing,Not Rated,91,8.4
199,on-the-waterfront,On the Waterfront,Approved,91,8.7
200,jafar-panahis-taxi,Jafar Panahi's Taxi,Not Rated,91,7.1
201,ida,Ida,PG-13,91,7.5
202,beau-travail,Beau Travail,Not Rated,91,7.6
203,her,Her,R,91,8.6
204,uncut-gems,Uncut Gems,R,91,7.2
205,waltz-with-bashir,Waltz with Bashir,R,91,7.9
206,memoria-2020,Memoria,Not Rated,91,7.2
207,this-is-not-a-burial-its-a-resurrection,"This Is Not a Burial, It's a Resurrection",Not Rated,91,6.2
208,they-shall-not-grow-old,They Shall Not Grow Old,Not Rated,91,8.5
209,secrets-lies,Secrets & Lies,R,91,8.2
210,patton,Patton,M,91,8.3
211,the-favourite,The Favourite,R,91,7.7
212,the-sweet-hereafter,The Sweet Hereafter,TV-MA,91,8.1
213,the-right-stuff,The Right Stuff,PG,91,8.1
214,bambi,Bambi,Approved,91,7.8
215,bringing-up-baby,Bringing Up Baby,TV-G,91,7.5
216,no-country-for-old-men,No Country for Old Men,R,91,7.9
217,the-gatekeepers,The Gatekeepers,PG-13,91,6.8
218,nostalgia-for-the-light,Nostalgia for the Light,Not Rated,91,8.1
219,david-copperfield,David Copperfield,Passed,91,tbd
220,saving-private-ryan,Saving Private Ryan,TV-MA,91,8.9
221,burning,Burning,Not Rated,90,7.8
222,ben-hur-1959,Ben-Hur,G,90,8.9
223,after-hours,After Hours,R,90,8.0
224,the-crying-game,The Crying Game,R,90,7.6
225,great-expectations-1947,Great Expectations,Approved,90,tbd
226,winters-bone,Winter's Bone,R,90,7.3
227,gett-the-trial-of-viviane-amsalem,Gett: The Trial of Viviane Amsalem,Not Rated,90,7.7
228,i-called-him-morgan,I Called Him Morgan,Not Rated,90,6.7
229,close-encounters-of-the-third-kind,Close Encounters of the Third Kind,PG,90,7.8
230,the-godfather-part-ii,The Godfather: Part II,R,90,9.1
231,the-hustler,The Hustler,TV-PG,90,8.2
232,la-confidential,L.A. Confidential,TV-MA,90,8.7
233,procession,Procession,R,90,6.0
234,bloody-sunday,Bloody Sunday,R,90,8.4
235,my-voyage-to-italy,My Voyage to Italy,PG-13,90,7.1
236,phantom-thread,Phantom Thread,R,90,7.7
237,goodfellas,Goodfellas,R,90,8.7
238,wojnarowicz,Wojnarowicz,Not Rated,90,2.5
239,hamilton-2020,Hamilton,PG-13,90,7.6
240,paths-of-the-soul,Paths of the Soul,Not Rated,90,5.5
241,its-such-a-beautiful-day-2012,It's Such a Beautiful Day,Not Rated,90,8.7
242,my-perestroika,My Perestroika,Not Rated,90,7.3
243,this-is-not-a-film,This Is Not a Film,Not Rated,90,6.3
244,the-birds,The Birds,PG-13,90,8.2
245,to-have-and-have-not,To Have and Have Not,Approved,90,tbd
246,finding-nemo,Finding Nemo,G,90,8.7
247,topsy-turvy,Topsy-Turvy,R,90,8.0
248,samurai-rebellion,Samurai Rebellion,Not Rated,90,5.9
249,king-kong-1933,King Kong,Passed,90,8.2
250,mangrove,Small Axe: Mangrove,Not Rated,90,7.4
251,the-incredibles,The Incredibles,PG,90,8.8
252,before-sunset,Before Sunset,R,90,8.6
253,being-john-malkovich,Being John Malkovich,R,90,8.8
254,the-worst-person-in-the-world,The Worst Person in the World,Not Rated,90,7.8
255,a-prophet,A Prophet,R,90,8.5
256,hard-to-be-a-god,Hard to Be a God,Not Rated,90,5.4
257,almost-famous,Almost Famous,Unrated,90,6.1
258,paths-of-glory,Paths of Glory,TV-14,90,8.2
259,cold-war,Cold War,R,90,7.9
260,big-men,Big Men,Not Rated,90,7.4
261,american-splendor,American Splendor,TV-MA,90,7.9
262,hannah-and-her-sisters,Hannah and Her Sisters,PG-13,90,8.0
263,the-circus,The Circus,G,90,8.1
264,the-tale,The Tale,TV-MA,90,7.3
265,licorice-pizza,Licorice Pizza,R,90,6.7
266,paterson,Paterson,R,90,7.8
267,gosford-park,Gosford Park,TV-MA,90,7.3
